,id,city,latitude,longitude,min_temp,max_temp,morning_temp,evening_temp,day_temp,night_temp,weather
0,1,Mont Saint Michel,48.6359541,-1.511459954959514,9,16,13,14,16,10,Rain
1,2,St Malo,48.649518,-2.0260409,10,15,13,14,15,12,Rain
2,3,Bayeux,49.2764624,-0.7024738,9,17,11,15,14,9,Rain
3,4,Le Havre,49.4938975,0.1079732,11,15,13,14,14,12,Rain
4,5,Rouen,49.4404591,1.0939658,9,16,11,15,15,9,Rain
5,6,Paris,48.8588897,2.3200410217200766,11,17,11,17,16,13,Rain
6,7,Amiens,49.8941708,2.2956951,8,16,11,15,14,8,Rain
7,8,Lille,50.6365654,3.0635282,10,17,12,16,14,10,Rain
8,9,Strasbourg,48.584614,7.7507127,12,20,15,17,18,12,Rain
9,10,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,8,17,12,15,15,8,Rain
10,11,Colmar,48.0777517,7.3579641,11,20,15,18,17,11,Clouds
11,12,Eguisheim,48.0447968,7.3079618,11,20,15,18,17,11,Clouds
12,13,Besancon,47.2380222,6.0243622,12,18,13,16,14,12,Rain
13,14,Dijon,47.3215806,5.0414701,11,18,12,16,16,11,Rain
14,15,Annecy,45.8992348,6.1288847,12,16,13,16,13,12,Rain
15,16,Grenoble,45.1875602,5.7357819,15,19,16,18,18,15,Rain
16,17,Lyon,45.7578137,4.8320114,14,21,16,21,20,15,Clouds
17,18,Verdon Gorge,43.7496562,6.3285616,12,24,16,19,22,12,Clouds
18,19,Bormes les Mimosas,43.1572172,6.329253867921363,18,26,21,23,26,19,Clouds
19,20,Cassis,43.2140359,5.5396318,20,24,21,22,23,21,Clouds
20,21,Marseille,43.2961743,5.3699525,20,24,22,23,23,21,Rain
21,22,Aix en Provence,43.5298424,5.4474738,18,25,20,24,24,20,Clouds
22,23,Avignon,43.9492493,4.8059012,17,25,20,22,23,18,Clouds
23,24,Uzès,44.0121279,4.4196718,16,23,19,20,22,16,Clouds
24,25,Nímes,43.8374249,4.3600687,17,24,20,20,22,17,Clouds
25,26,Aigues Mortes,43.5658225,4.1912837,18,22,19,20,21,18,Clouds
26,27,Saintes Maries de la mer,43.4522771,4.4287172,19,22,20,20,22,19,Clouds
27,28,Collioure,42.52505,3.0831554,14,21,17,18,17,14,Rain
28,29,Carcassonne,43.2130358,2.3491069,12,17,15,14,16,12,Rain
29,30,Ariege,42.9455368,1.4065544156065486,5,9,7,5,7,5,Rain
30,31,Toulouse,43.6044622,1.4442469,11,16,14,13,16,11,Rain
31,32,Montauban,44.0175835,1.3549991,11,19,13,13,17,11,Rain
32,33,Biarritz,43.4832523,-1.5592776,13,15,14,14,15,13,Rain
33,34,Bayonne,43.4933379,-1.475099,13,15,14,14,15,13,Rain
34,35,La Rochelle,46.1591126,-1.1520434,13,16,15,16,16,14,Rain
